"Name","Jan 2024","Feb 2024","Mar 2024","Apr 2024","May 2024","Jun 2024","Jul 2024","Aug 2024","Sep 2024","Oct 2024","Nov 2024","Dec 2024","Total"
"Total Income",16331.08,10279.66,17967.05,22666.18,25191.95,20507.89,21711.12,11313.07,10390.41,5356.43,3716.94,3059.09,168490.87
"    Sales",16331.08,10279.66,17967.05,22666.18,25191.95,20507.89,21711.12,11313.07,10390.41,5356.43,3716.94,3059.09,168490.87
"        Sales of product income - Shopify",7390.27,2614.1,8711.65,8357.35,11041.87,8867.07,6775.72,5034.51,3627.32,1892.47,3285.24,1553.01,69150.58
"        Discounts and Refunds",-631.59,238.44,-664,-848.66,-1144,-861.54,-877.61,-356.99,-369.35,-1283.42,-1804.36,-624.89,-9227.97
"        Refund",0,0,0,0,0,0,0,0,130,0,0,0,130
"        Sales of Product Income - Tiktok",1303.82,2797.48,3435.84,5400.94,3934.94,3227.16,3525.06,2276.6,2465.79,531.36,73.54,2.57,28975.1
"        Sales of Product Income - Blackcart",2230.37,1166.12,1875.71,3048.41,3869.45,3110.51,4823.56,1296.17,1700.72,1082.11,576.19,547.02,25326.34
"        Sales of Product Income - Amazon Seller Central",6038.21,3463.52,4607.85,6708.14,7489.69,6164.69,7464.39,3062.78,2835.93,2457.91,1586.33,1581.38,53460.82
"Total Cost Of Goods Sold",-2240.57,-1327.49,-2483.19,-3124.25,-3499.34,-2838.45,-2989.87,-1553.4,-1414.42,-784.01,-674.37,-2667.93,-25597.29
"    Fulfillment Fees",0,0,0,0,0,0,0,0,0,0,0,-2216.87,-2216.87
"    Cost of Goods Sold",-1759.87,-788.47,-1760.82,-1975.14,-2437.94,-1976.5,-1854.51,-1067.5,-847.79,-564.61,-637.09,-408.9,-16079.14
"        Cost of goods sold - Amazon Seller Central",-754.77,-432.95,-575.98,-838.52,-936.22,-770.6,-933.05,-382.85,-354.49,-307.24,-198.3,-197.68,-6682.65
"        Cost of goods sold - Shopify",-1005.1,-355.52,-1184.84,-1136.62,-1501.72,-1205.9,-921.46,-684.65,-493.3,-257.37,-438.79,-211.22,-9396.49
"    Cost of goods sold - Sales of Product Income - Tiktok",-177.34,-380.45,-467.27,-734.53,-535.16,-438.93,-479.34,-309.62,-335.34,-72.24,-3.63,0,-3933.85
"    Cost of goods sold - Sales of Product Income - Blackcart",-303.36,-158.57,-255.1,-414.58,-526.24,-423.02,-656.02,-176.28,-231.29,-147.16,-33.65,-42.16,-3367.43
"Gross Profit",14090.51,8952.17,15483.86,19541.93,21692.61,17669.44,18721.25,9759.67,8975.99,4572.42,3042.57,391.16,142893.58
